2023-01-20 15:12:05 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:05 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:05 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:12:05 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:12:08 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:08 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:09 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:12:09 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:12:09 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:12:09 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:12:10 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:10 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:10 | [ERROR]   | 429 - Too Many Requests : GET https://discord.com/api/v8/users/@me
2023-01-20 15:12:10 | [ERROR]   | Could not authenticate, check token: error code: 1015
2023-01-20 15:12:12 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:12 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:12 | [ERROR]   | 429 - Too Many Requests : GET https://discord.com/api/v8/users/@me
2023-01-20 15:12:12 | [ERROR]   | Could not authenticate, check token: error code: 1015
2023-01-20 15:12:14 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:14 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:14 | [ERROR]   | 429 - Too Many Requests : GET https://discord.com/api/v8/users/@me
2023-01-20 15:12:14 | [ERROR]   | Could not authenticate, check token: error code: 1015
2023-01-20 15:12:15 | [INFO]    | Discordia 2.11.0
2023-01-20 15:12:15 | [INFO]    | Connecting to Discord...
2023-01-20 15:12:15 | [ERROR]   | 429 - Too Many Requests : GET https://discord.com/api/v8/users/@me
2023-01-20 15:12:15 | [ERROR]   | Could not authenticate, check token: error code: 1015
2023-01-20 15:15:14 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:14 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:14 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:14 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:14 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:15:14 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:15:16 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:16 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:16 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:16 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:16 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:15:16 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:15:18 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:18 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:19 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:19 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:21 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:21 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:22 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:22 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:23 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:23 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:24 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:24 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:24 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:15:24 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:15:25 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:25 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:25 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:25 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:26 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:15:26 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:15:26 | [INFO]    | Shard 0 : Received READY
2023-01-20 15:15:28 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:28 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:28 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:28 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:30 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:30 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:32 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:32 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:32 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:32 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:33 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:33 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:33 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:33 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:33 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:15:33 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:15:33 | [INFO]    | Shard 0 : Received READY
2023-01-20 15:15:37 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:37 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:38 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:38 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:39 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:39 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:40 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:40 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:40 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:40 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:15:41 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:41 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:43 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:43 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:44 | [INFO]    | Discordia 2.11.0
2023-01-20 15:15:44 | [INFO]    | Connecting to Discord...
2023-01-20 15:15:44 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:15:44 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:23:33 | [INFO]    | Discordia 2.11.0
2023-01-20 15:23:33 | [INFO]    | Connecting to Discord...
2023-01-20 15:23:34 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:23:34 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:23:34 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:23:34 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:23:34 | [INFO]    | Shard 0 : Received READY
2023-01-20 15:24:00 | [INFO]    | Discordia 2.11.0
2023-01-20 15:24:00 | [INFO]    | Connecting to Discord...
2023-01-20 15:24:00 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:24:00 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:24:01 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:24:01 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:24:01 | [INFO]    | Shard 0 : Received READY
2023-01-20 15:25:37 | [INFO]    | Discordia 2.11.0
2023-01-20 15:25:37 | [INFO]    | Connecting to Discord...
2023-01-20 15:25:38 | [INFO]    | Authenticated as stuart vilrite#2105
2023-01-20 15:25:38 | [INFO]    | Launching shard 0 (1 out of 1)...
2023-01-20 15:25:38 | [INFO]    | Shard 0 : Connected to wss://gateway.discord.gg
2023-01-20 15:25:38 | [INFO]    | Shard 0 : Received HELLO
2023-01-20 15:25:38 | [INFO]    | Shard 0 : Received READY
2023-01-20 15:44:44 | [INFO]    | Discordia 2.11.0
2023-01-20 15:44:44 | [INFO]    | Connecting to Discord...
